0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"304, 0","312, 48",,,,,,,"296, 168","280, 232","272, 296",,,,"312, 120"
"304, 0","312, 48",,,,,,,"296, 168","280, 232","272, 296",,,,"312, 120"
"304, 0","312, 48",,,,,,,"296, 168","280, 232","272, 296",,,,"312, 112"
"304, 0","312, 48",,,,,,,"296, 168","280, 232","272, 296",,,,"312, 120"
"304, 8","312, 48",,,,,,,"296, 168","280, 232","272, 296",,,,"312, 120"
"304, 8","312, 48",,,,,,,"296, 168","280, 232","272, 296",,,,"312, 120"
"304, 8","312, 56",,,,,,,"296, 168","280, 232","272, 296",,,,"312, 120"
"304, 8","312, 56",,,,,,,"296, 168","272, 232","272, 296",,,,"312, 120"
"304, 8","312, 56",,,,,,,"296, 168","272, 240","272, 296",,,,"312, 120"
"304, 16","312, 64",,,,,,,"296, 168","272, 232","272, 296",,,,"312, 120"
"304, 16","312, 64",,,,,,,"296, 168","272, 232","272, 296",,,,"312, 128"
"304, 24","312, 72",,,,,,,"296, 176","272, 232","272, 296",,,,"312, 128"
"304, 24","312, 72",,,,,,,"296, 176","264, 240","272, 296",,,,"312, 136"
"304, 32","312, 80",,,,,,,"296, 176","264, 232","272, 296",,,,"312, 136"
"304, 32","312, 80",,,,,,,"296, 184","264, 232","272, 296",,,,"312, 136"
"304, 40","312, 80",,,,,,,"296, 184","264, 232","272, 296",,,,"312, 144"
"304, 40","312, 88",,,,,,,"296, 184","264, 240","272, 296",,,,"312, 144"
"304, 40","312, 88",,,,,,,"296, 184","264, 240","272, 296",,,,"312, 144"
"304, 48","312, 96",,,,,,,"296, 192","264, 240","272, 296",,,,"312, 152"
"304, 48","312, 96",,,,,,,"296, 192","264, 240","272, 296",,,,"312, 152"
"304, 48","312, 96",,,,,,,"296, 192","264, 240","272, 296",,,,"312, 152"
"304, 56","312, 104",,,,,,,"296, 192","264, 240","272, 296",,,,"312, 160"
"304, 56","312, 104",,,,,,,"296, 200","264, 240","272, 296",,,,"312, 160"
"304, 56","312, 104",,,,,,,"296, 200","264, 232","272, 296",,,,"312, 160"
"304, 64","312, 112",,,,,,,"296, 200","264, 232","272, 296",,,,"312, 160"
"304, 64","312, 112",,,,,,,"296, 200","264, 240","272, 296",,,,"312, 168"
"304, 64","312, 112",,,,,,,"296, 200","264, 240","272, 296",,,,"312, 168"
"304, 64","312, 112",,,,,,,"296, 200","264, 240","272, 296",,,,"312, 168"
"304, 72","312, 112",,,,,,,"296, 208","256, 240","272, 296",,,,"312, 168"
"304, 72","312, 120",,,,,,,"296, 208","256, 240","272, 296",,,,"312, 168"
"304, 72","312, 120",,,,,,,"296, 208","256, 240","272, 296",,,,"312, 176"
"304, 72","312, 120",,,,,,,"296, 216","256, 240","272, 296",,,,"312, 176"
"304, 80","312, 128",,,,,,,"296, 216","256, 240","272, 296",,,,"312, 176"
"304, 80","312, 128",,,,,,,"296, 216","256, 240","272, 296",,,,"312, 176"
"304, 80","312, 128",,,,,,,"296, 216","256, 240","272, 296",,,,"312, 184"
"304, 80","312, 128",,,,,,,"296, 216","256, 240","272, 296",,,,"312, 184"
"304, 88","312, 136",,,,,,,"296, 224","256, 240","272, 304",,,,"312, 184"
"304, 88","312, 136",,,,,,,"296, 224","256, 240","272, 304",,,,"312, 184"
"304, 88","312, 136",,,,,,,"296, 224","256, 240","272, 304",,,,"312, 192"
"304, 88","312, 136",,,,,,,"296, 232","256, 240","272, 304",,,,"312, 192"
"304, 96","312, 136",,,,,,,"296, 232","256, 240","272, 296",,,,"312, 192"
"304, 96","312, 144",,,,,,,"296, 232","256, 240","272, 296",,,,"312, 192"
"304, 96","312, 144",,,,,,,"296, 232","256, 240","272, 304",,,,"312, 200"
"304, 96","312, 144",,,,,,,"296, 240","256, 240","272, 304",,,,"312, 200"
"304, 96","312, 144",,,,,,,"296, 240","248, 248","272, 296",,,,"312, 200"
"304, 104","312, 144",,,,,,,"296, 240","248, 248","272, 296",,,,"312, 200"
"304, 104","312, 152",,,,,,,"296, 240","248, 248","272, 296",,,,"312, 200"
"304, 104","312, 152",,,,,,,"296, 240","248, 248","272, 296",,,,"312, 200"
"304, 104","312, 152",,,,,,,"296, 240","248, 248","272, 296",,,,"312, 208"
"304, 104","312, 152",,,,,,,"296, 240","248, 248","272, 296",,,,"312, 208"
"304, 104","312, 152",,,,,,,"296, 240","248, 248","272, 296",,,,"312, 208"
"304, 112","312, 160",,,,,,,"296, 248","256, 248","272, 296",,,,"312, 208"
"304, 112","312, 160",,,,,,,"296, 248","256, 248","272, 296",,,,"312, 208"
"304, 112","312, 160",,,,,,,"296, 248","256, 248","272, 296",,,,"312, 208"
"304, 112","312, 160",,,,,,,"296, 248","256, 248","272, 296",,,,"312, 216"
"304, 112","312, 160",,,,,,,"296, 248","256, 248","272, 304",,,,"312, 216"
"304, 112","304, 160",,,,,,,"296, 256","256, 248","272, 296",,,,"312, 216"
"304, 112","304, 160",,,,,,,"296, 256","256, 248","272, 296",,,,"312, 216"
