0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,"344, 136","368, 104","384, 72","280, 128","264, 104","240, 72",,,,,,,
,,"344, 136","368, 104","384, 72","280, 128","264, 104","240, 72",,,,,,,
,,"344, 136","368, 104","392, 72","280, 128","256, 96","240, 72",,,,,,,
,,"344, 136","368, 104","392, 72","280, 128","256, 96","240, 72",,,,,,,
,,"344, 136","368, 104","392, 72","280, 128","264, 104","240, 72",,,,,,,
,,"344, 136","368, 104","392, 72","280, 128","256, 104","240, 72",,,,,,,
,,"344, 136","368, 104","392, 72","280, 128","256, 96","240, 72",,,,,,,
,,"344, 136","368, 104","392, 72","280, 128","256, 104","240, 72",,,,,,,
,,"344, 136","368, 104","392, 72","280, 128","256, 104","240, 72",,,,,,,
,,"344, 136","368, 104","392, 72","280, 128","256, 104","240, 72",,,,,,,
,,"344, 136","368, 104","392, 72","280, 128","256, 104","240, 72",,,,,,,
,,"344, 136","368, 104","392, 72","280, 128","256, 104","240, 72",,,,,,,
,,"344, 136","368, 104","392, 72","280, 128","256, 104","240, 72",,,,,,,
,,"344, 136","368, 104","392, 72","280, 128","256, 104","240, 72",,,,,,,
,,"344, 136","368, 104","392, 72","280, 128","256, 104","240, 72",,,,,,,
,,"344, 136","368, 112","384, 72","280, 128","256, 104","240, 72",,,,,,,
,,"344, 136","368, 112","384, 72","280, 128","256, 104","240, 72",,,,,,,
,,"344, 136","368, 112","384, 72","280, 128","256, 104","240, 72",,,,,,,
,,"344, 136","368, 112","384, 72","280, 128","256, 112","240, 72",,,,,,,
,,"344, 136","368, 112","384, 72","288, 136","256, 112","240, 72",,,,,,,
,,"344, 136","368, 112","384, 80","288, 136","256, 112","232, 72",,,,,,,
,,"344, 136","376, 112","384, 80","288, 136","256, 112","240, 80",,,,,,,
,,"344, 136","376, 120","384, 80","288, 136","256, 120","240, 80",,,,,,,
,,"344, 136","376, 120","384, 88","288, 136","248, 120","232, 80",,,,,,,
,,"336, 136","376, 120","384, 88","288, 136","248, 120","232, 88",,,,,,,
,,"336, 136","376, 128","384, 88","288, 136","248, 128","232, 88",,,,,,,
,,"336, 136","376, 128","384, 96","288, 136","248, 128","232, 96",,,,,,,
,,"336, 136","376, 128","384, 96","288, 136","248, 136","240, 96",,,,,,,
,,"336, 136","376, 136","384, 96","288, 136","248, 136","240, 104",,,,,,,
,,"336, 136","376, 136","384, 104","288, 136","248, 144","240, 104",,,,,,,
,,"336, 136","376, 136","384, 104","288, 136","248, 144","240, 104",,,,,,,
,,"336, 136","376, 136","384, 104","288, 136","248, 144","240, 112",,,,,,,
,,"336, 136","376, 144","384, 104","296, 136","248, 144","240, 112",,,,,,,
,,"336, 136","376, 144","384, 112","296, 136","248, 152","240, 112",,,,,,,
,,"336, 136","376, 144","384, 112","296, 128","256, 152","240, 112",,,,,,,
,,"336, 128","376, 152","384, 112","296, 136","256, 152","240, 112",,,,,,,
,,"336, 128","368, 152","384, 112","296, 136","256, 152","240, 112",,,,,,,
,,"336, 128","368, 152","384, 120","296, 128","256, 152","240, 120",,,,,,,
,,"336, 128","376, 152","384, 120","296, 128","256, 152","240, 120",,,,,,,
,,"336, 136","368, 152","384, 120","296, 128","256, 152","240, 120",,,,,,,
,,"336, 128","368, 152","384, 120","296, 128","256, 152","240, 120",,,,,,,
,,"336, 128","368, 152","384, 120","296, 128","256, 152","240, 120",,,,,,,
,,"336, 128","368, 160","384, 120","296, 128","256, 152","240, 120",,,,,,,
,,"336, 128","368, 160","384, 120","296, 128","256, 152","240, 120",,,,,,,
,,"336, 128","368, 160","384, 128","296, 128","256, 152","240, 120",,,,,,,
,,"336, 128","368, 160","384, 128","296, 128","256, 160","240, 120",,,,,,,
,,"336, 128","368, 160","384, 128","296, 128","256, 160","240, 120",,,,,,,
,,"336, 128","368, 160","384, 128","296, 128","256, 160","240, 120",,,,,,,
,,"336, 128","368, 160","384, 128","296, 128","256, 160","240, 120",,,,,,,
,,"336, 128","368, 160","384, 128","296, 128","256, 160","240, 128",,,,,,,
,,"336, 128","368, 168","384, 128","296, 128","256, 160","240, 128",,,,,,,
,,"336, 128","368, 168","384, 128","296, 128","256, 160","240, 128",,,,,,,
,,"336, 128","368, 168","384, 128","296, 128","256, 160","240, 128",,,,,,,
,,"336, 128","368, 168","384, 136","288, 136","256, 160","240, 128",,,,,,,
,,"336, 128","368, 168","384, 136","296, 128","256, 160","232, 128",,,,,,,
,,"336, 136","368, 168","384, 136","296, 128","256, 160","232, 128",,,,,,,
,,"336, 136","368, 168","384, 136","296, 128","256, 160","232, 128",,,,,,,
,,"336, 136","368, 168","384, 136","296, 128","256, 160","232, 128",,,,,,,
,,"336, 128","368, 168","384, 136","296, 128","256, 160","232, 128",,,,,,,
,,"336, 136","368, 168","384, 136","296, 128","256, 160","232, 128",,,,,,,
,,"336, 136","368, 168","384, 128","296, 128","256, 160","232, 128",,,,,,,
,,"328, 128","368, 168","384, 128","288, 136","256, 160","232, 128",,,,,,,
,,"328, 128","368, 160","384, 128","288, 136","256, 160","232, 128",,,,,,,
,,"336, 136","368, 160","384, 128","288, 136","256, 160","232, 128",,,,,,,
,,"336, 136","368, 160","384, 128","296, 136","248, 160","232, 120",,,,,,,
,,"336, 136","368, 160","384, 120","296, 136","248, 160","232, 120",,,,,,,
,,"336, 136","376, 152","384, 120","296, 136","248, 152","232, 120",,,,,,,
,,"336, 136","368, 152","384, 112","288, 136","248, 152","232, 112",,,,,,,
,,"336, 136","376, 144","384, 112","288, 136","248, 144","232, 112",,,,,,,
,,"336, 136","376, 136","384, 104","288, 136","248, 144","232, 104",,,,,,,
,,"336, 136","376, 136","384, 96","288, 136","248, 136","232, 96",,,,,,,
,,"336, 136","368, 128","384, 96","288, 136","248, 128","232, 88",,,,,,,
,,"336, 136","368, 120","384, 88","288, 136","248, 120","240, 88",,,,,,,
,,"344, 136","368, 112","384, 80","288, 136","256, 120","240, 80",,,,,,,
,,"344, 136","368, 112","384, 80","288, 136","256, 112","240, 72",,,,,,,
,,"344, 136","360, 112","384, 72","280, 136","256, 104","240, 72",,,,,,,
,,"344, 136","360, 104","384, 72","280, 136","264, 104","240, 72",,,,,,,
,,"344, 136","360, 104","384, 72","280, 136","264, 104","240, 72",,,,,,,
,,"344, 136","360, 104","384, 72","280, 136","264, 104","240, 72",,,,,,,
,,"344, 136","360, 104","384, 72","280, 136","264, 104","240, 72",,,,,,,
,,"344, 136","368, 104","384, 72","280, 136","264, 104","240, 72",,,,,,,
,,"344, 136","360, 112","384, 72","280, 136","256, 104","240, 72",,,,,,,
,,"344, 136","368, 104","384, 72","280, 136","256, 104","240, 72",,,,,,,
,,"344, 136","360, 112","384, 72","280, 136","256, 96","240, 72",,,,,,,
,,"344, 136","360, 104","384, 72","280, 136","256, 96","240, 72",,,,,,,
