0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,,,,,,,,,,
,,,,1,,4,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,8,,,,,,,,
,,,,,,5,,,,,,,,
,,,,,,3,,,,,,,,
,,,,,,7,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,7,5,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,7,,,,,,,,
,,,,,8,,,,,,,,,
,,,,7,,,5,,,,,,,
,,,1,,,,8,,,,,,,
,,,7,,,7,,,,,,,,
,,,,7,,5,5,,,,,,,
,,5.0,,,,,7,,,,,,,
,,,7,,,7,,,,,,,,
,,,,7,,,7,,,,,,,
,,,,,,7,1,,,,,,,
,,,7,,,,7,,,,,,,
,,,,7,,7,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,7,,,,,,,
,,,7,,1,,,,,,,,,
,,,,7,,7,,,,,,,,
,,,,,3,1,,,,,,,,
,,3.0,7.0,,7,,,,,,,,,
,,,5,,,,,,,,,,,
,,,,7,3,,7,,,,,,,
,,,1,,,,,,,,,,,
,,7.0,5.0,,,,,,,,,,,
,,3.0,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,7,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,7,,,,,,,,,,
,,,,,,7,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,7,,,,,,,
,,,7,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,7,6,,,,,,,,,
,,,,,2,,5,,,,,,,
,,7.0,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,3.0,,,,,,,,,,,,
,,7.0,,,,,,,,,,,,
,,,,3,,,,,,,,,,
,,4.0,,,6,,,,,,,,,
,,,3,,,,,,,,,,,
,,8.0,,,,,,,,,,,,
,,,,,1,5,3,,,,,,,
,,,,3,,,,,,,,,,
,,,2,,,3,,,,,,,,
,,,5,3,5,,3,,,,,,,
,,,2,,,3,,,,,,,,
,,,3,3,,,3,,,,,,,
,,,,3,,3,3,,,,,,,
,,,4,,,3,3,,,,,,,
,,,3,3,,3,1,,,,,,,
,,1.0,3.0,3.0,,1,3,,,,,,,
,,,,,,3,3,,,,,,,
,,,5,3,5,3,,,,,,,,
,,,3,,,1,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,
,,,6,,,5,,,,,,,,
,,,2,,,,,,,,,,,
,,,6,,,3,,,,,,,,
,,,3,,,,,,,,,,,
