0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"280, 80","272, 120",,,,,,,"272, 200","272, 264","272, 320",,,,"272, 168"
"280, 80","272, 120",,,,,,,"272, 200","272, 264","272, 320",,,,"272, 168"
"280, 80","272, 120",,,,,,,"272, 200","272, 264","272, 320",,,,"272, 168"
"280, 80","272, 120",,,,,,,"272, 200","272, 264","272, 320",,,,"272, 168"
"280, 80","272, 120",,,,,,,"272, 200","272, 264","272, 320",,,,"272, 168"
"280, 80","272, 120",,,,,,,"272, 200","272, 264","272, 320",,,,"272, 168"
"280, 80","272, 120",,,,,,,"272, 200","272, 264","272, 320",,,,"272, 168"
"280, 80","272, 120",,,,,,,"272, 200","272, 264","272, 320",,,,"272, 168"
"280, 80","272, 120",,,,,,,"272, 200","272, 264","272, 320",,,,"272, 168"
"280, 80","272, 120",,,,,,,"272, 200","272, 264","272, 320",,,,"272, 168"
"280, 80","272, 120",,,,,,,"272, 200","272, 264","272, 320",,,,"272, 168"
"280, 80","272, 120",,,,,,,"272, 200","272, 264","272, 320",,,,"272, 168"
"280, 80","272, 120",,,,,,,"272, 200","272, 264","272, 320",,,,"272, 168"
"280, 80","280, 120",,,,,,,"272, 208","272, 264","272, 320",,,,"272, 168"
"280, 80","280, 120",,,,,,,"272, 208","272, 264","272, 320",,,,"272, 168"
"280, 80","280, 120",,,,,,,"272, 200","272, 264","272, 320",,,,"272, 168"
"280, 80","280, 120",,,,,,,"272, 200","272, 264","272, 320",,,,"272, 168"
"280, 80","280, 120",,,,,,,"272, 200","272, 264","272, 320",,,,"272, 168"
"280, 80","280, 120",,,,,,,"272, 200","272, 264","272, 320",,,,"272, 168"
"280, 80","280, 120",,,,,,,"272, 200","272, 264","272, 320",,,,"272, 168"
"280, 80","280, 120",,,,,,,"272, 200","280, 264","272, 320",,,,"272, 168"
"280, 80","280, 120",,,,,,,"272, 200","280, 264","272, 320",,,,"272, 168"
"280, 80","280, 120",,,,,,,"272, 200","280, 264","272, 320",,,,"272, 168"
"288, 80","280, 120",,,,,,,"272, 200","280, 264","272, 320",,,,"272, 168"
"288, 88","280, 120",,,,,,,"272, 200","280, 264","272, 320",,,,"272, 168"
"288, 88","280, 128",,,,,,,"272, 200","288, 264","272, 320",,,,"272, 168"
"288, 88","280, 128",,,,,,,"272, 208","288, 264","272, 320",,,,"272, 168"
"288, 88","280, 128",,,,,,,"272, 208","288, 264","272, 320",,,,"272, 168"
"288, 88","280, 128",,,,,,,"272, 208","288, 264","272, 320",,,,"272, 168"
"288, 96","280, 136",,,,,,,"272, 208","296, 264","272, 320",,,,"272, 176"
"296, 96","280, 136",,,,,,,"264, 216","296, 264","272, 320",,,,"272, 176"
"296, 96","280, 136",,,,,,,"264, 216","296, 264","272, 320",,,,"272, 176"
"296, 104","280, 144",,,,,,,"264, 216","296, 272","272, 320",,,,"272, 184"
